,,,,,,,,,,,,,,,10,11,12,13,14,15,16,매수개수,,,,,,,
종목명,현재가,ROE(Y),ROE(Q),BPS(Q),EPS(Q)(2),PSR(Q),배당수익률,종목코드,PER,PBR,기대 ROE,미래가치,기대복리수익률,기대이득%,2.59374246,2.839420986,3.105848208,3.39456739,3.707221314,4.045557736,4.411435079,,,,,,,,
이오테크닉스,"104,200",6,5,"31,851","1,543",6.17,0.1,'039030,67.53078419,3.271482842,-6.291713873,54406.10914,0.522131566,-79.86956787,20975.91028,19160.98719,17517.31105,16027.40582,14675.71114,13448.3581,12332.97287,31,,,,,,,
코아시아,"6,740",-18,6.7,"5,678",345,0.32,0,'045970,19.53623188,1.187037689,-7.253943309,3174.054892,0.470928026,-81.84368599,1223.735564,1117.852868,1021.960727,935.0395876,856.1816583,784.5778258,719.5062005,176,,,,,,,
마이크로컨텍솔,"4,525",-13,1.2,"3,874",44,1.14,0,'098120,102.8409091,1.168043366,-7.350362016,2108.899339,0.466055103,-82.03155827,813.0719882,742.7216144,679.0091458,621.2571726,568.8625415,521.2876633,478.0529014,258,,,,,,,
씨아이테크,391,-11,-13.4,652,-71,0.56,0,'004920,-5.507042254,0.599693252,-7.593696055,177.4977102,0.453958338,-82.49794091,68.43305105,62.51193854,57.14951224,52.28875724,47.87890853,43.87471933,40.23582055,1534,,,,,,,
큐로,"1,175",-22,17.6,655,103,1.01,0,'015590,11.40776699,1.79389313,-7.751524416,524.3603539,0.446264131,-82.7945859,202.1636157,184.6715779,168.8300003,154.4704505,141.4429594,129.61386,118.8638945,1527,,,,,,,
스튜디오드래곤,"81,900",9,9,"15,325","1,334",4.64,0,'253450,61.39430285,5.344208809,-7.819691747,36279.84831,0.442977391,-82.92130396,13987.45206,12777.19947,11681.14018,10687.62058,9786.264493,8967.823643,8224.046748,65,,,,,,,
한국화장품제조,"32,050",7,-2.4,"11,132",-265,1.87,0.3,'003350,-120.9433962,2.879087316,-7.965607475,13974.28302,0.436015071,-83.18973153,5387.691044,4921.525582,4499.345133,4116.660952,3769.476338,3454.229042,3167.740831,90,,,,,,,
동방선기,"2,875",-8,-2.7,"2,127",-57,1.74,0,'099410,-50.43859649,1.351669017,-8.15963895,1227.364826,0.426909505,-83.54079053,473.2022722,432.2588414,395.1786254,361.5673765,331.0740637,303.3858137,278.2234814,470,,,,,,,
에이프로젠 KIC,"2,695",-19,6.2,"1,880",104,5.59,0,'007460,25.91346154,1.433510638,-9.710810041,970.3230243,0.360045649,-86.11868161,374.1015306,341.7327085,312.4180447,285.8458569,261.738629,239.8490116,219.9563197,532,,,,,,,
한솔씨앤피,"8,770",-36,18.1,"7,174","1,212",0.7,0,'221610,7.235973597,1.222470031,-10.76070554,2809.059082,0.320303202,-87.65092499,1083.013879,989.3070086,904.4418444,827.5160747,757.7262979,694.3564436,636.767635,139,,,,,,,
에프엔씨엔터,"8,600",-2,-8.7,"4,698",-385,1.59,0,'173940,-22.33766234,1.830566198,-10.90320652,2710.935567,0.315225066,-87.84670912,1045.183016,954.7494296,872.8486986,798.6100305,731.2580871,670.1018114,614.524643,213,,,,,,,
신라섬유,"2,080",1,0.7,589,4,12.07,0,'001000,520,3.531409168,-11.1042295,641.0240449,0.308184637,-88.11814813,247.1425189,225.7587191,206.3925865,188.8382145,172.9122679,158.4513402,145.3096404,1698,,,,,,,
테라젠이텍스,"8,080",-12,6.1,"2,796",162,1.85,0,'066700,49.87654321,2.889842632,-12.72132985,2072.490576,0.256496358,-90.11095503,799.0348338,729.8990131,667.2864984,610.5315752,559.041503,512.2879739,469.7996318,358,,,,,,,
우정바이오,"5,480",-20,7.1,"2,486",156,1.74,0,'215380,35.12820513,2.204344328,-13.55978301,1276.259661,0.232894099,-91.02092431,492.0533479,449.4788435,410.9214538,375.9712254,344.2631429,315.4718693,289.3071389,402,,,,,,,
루트로닉,"7,960",-11,-7.4,"4,691",-351,1.92,0,'085370,-22.67806268,1.69686634,-13.87661619,1786.99739,0.22449716,-91.34466266,688.9648519,629.3527443,575.3653334,526.4286092,482.0314835,441.7184246,405.0830077,213,,,,,,,
아이티센,"7,150",-1,-8.5,"1,789",-161,0.08,0,'124500,-44.40993789,3.996646171,-17.07310316,1099.664447,0.153799223,-94.07037415,423.968248,387.2847499,354.062521,323.9483328,296.627677,271.8202331,249.2758993,559,,,,,,,
세동,810,-20,-15.7,889,-150,0.12,0,'053060,-5.4,0.911136108,-17.0819191,124.4449962,0.153635798,-94.07667492,47.97893318,43.82759611,40.06795819,36.66004585,33.56826734,30.76089981,28.20964016,1125,,,,,,,
영진약품,"6,210",-5,9.3,654,59,5.1,0,'003520,105.2542373,9.495412844,-18.43816543,809.0240982,0.130277633,-94.9772333,311.913812,284.9257303,260.4841074,238.3290727,218.2292422,199.978384,183.3924978,1529,,,,,,,
루미마이크로,"2,270",-20,-6.2,"1,113",-63,0.9,0,'082800,-36.03174603,2.039532794,-19.0779815,273.3335418,0.120411252,-95.35762499,105.3819128,96.26383093,88.00608511,80.52087655,73.73003082,67.56387119,61.96023219,898,,,,,,,
원익,"4,270",-82,35.3,"4,860","1,517",0.84,0,'032940,2.814765985,0.878600823,-22.35151286,340.2184496,0.079676452,-96.92812786,131.1689402,119.8196574,109.5412354,100.2243911,91.77182067,84.09679749,77.12194412,206,,,,,,,
코닉글로리,"1,345",-29,2.5,287,7,6.94,0,'094860,192.1428571,4.68641115,-25.66635235,69.27503141,0.0515056,-98.01423617,26.70852348,24.39759083,22.30470608,20.40761707,18.68651088,17.12372828,15.70351375,3484,,,,,,,
유아이디,"1,580",-23,-34.5,"2,151",-729,0.93,0,'069330,-2.167352538,0.734542073,-26.51762221,72.52522707,0.045902042,-98.23027756,27.96161461,25.54225929,23.35118209,21.36508684,19.56323104,17.92712694,16.44027981,465,,,,,,,
파루,"2,750",-55,10.6,"1,328",131,1.58,0,'043200,20.99236641,2.070783133,-27.66206032,107.8931928,0.039233888,-98.48736377,41.59749645,37.99830786,34.73872048,31.78407743,29.10352084,26.66954715,24.45761773,753,,,,,,,
제이웨이,"1,735",-36,-8.6,705,-56,2.35,0,'058420,-30.98214286,2.460992908,-28.99155821,56.54566358,0.032591161,-98.74346967,21.80080114,19.91450505,18.20619032,16.65769363,15.25284271,13.97722323,12.81797478,1418,,,,,,,
넥스트사이언스,"7,720",-17,-26.7,"2,707",-766,12.08,0,'003580,-10.07832898,2.851865534,-29.62537756,230.0266101,0.029796193,-98.85122777,88.68521592,81.01180179,74.06241216,67.7631591,62.0482541,56.85906002,52.14326087,369,,,,,,,
큐로홀딩스,923,-38,-13,379,-37,2.28,0,'051780,-24.94594595,2.435356201,-31.84463882,19.96190284,0.021627197,-99.16617793,7.696177685,7.030272347,6.427198466,5.880543983,5.384599718,4.934277087,4.525036068,2639,,,,,,,
다믈멀티미디어,"4,590",-58,5.4,"1,910",80,3.32,0,'093640,57.375,2.403141361,-32.48666587,90.3042616,0.019674131,-99.24147708,34.81620207,31.8037593,29.07555539,26.60258325,24.35901554,22.32183237,20.47049543,524,,,,,,,
큐로컴,"1,840",-35,-15.2,547,-86,12.72,0,'040350,-21.39534884,3.363802559,-33.65644062,30.39523485,0.016519149,-99.36311528,11.71867883,10.70472994,9.786452142,8.954082025,8.19892644,7.513237194,6.890101363,1828,,,,,,,
STX중공업,"3,060",-70,-6.6,"5,207",-351,0.37,0,'071970,-8.717948718,0.587670444,-34.93135258,41.6331449,0.013605603,-99.47544511,16.05137963,14.66254744,13.40475841,12.26463938,11.23028311,10.29107669,9.437551308,192,,,,,,,
필옵틱스,"11,200",-34,-21.8,"3,598",-771,1.3,0,'161580,-14.52658885,3.112840467,-35.63947496,136.5883964,0.012195393,-99.52981482,52.66073964,48.10431318,43.97780806,40.23735006,36.84387438,33.76256262,30.96234988,278,,,,,,,
케이엠제약,"2,910",-64,0.2,"1,178",3,3.04,0,'225430,970,2.470288625,-37.78826089,25.27064981,0.008684072,-99.66519143,9.742929455,8.899930633,8.136472911,7.444438985,6.81660135,6.246518148,5.728441961,849,,,,,,,
영우디에스피,"2,470",-84,16.5,717,88,1.14,0,'143540,28.06818182,3.444909344,-41.4579262,11.67825575,0.004728039,-99.81771364,4.502473135,4.112900413,3.7600858,3.440278069,3.150137193,2.886686214,2.647269094,1395,,,,,,,
CJ CGV,"33,500",-67,-10.3,"11,754",-878,0.37,0.6,'079160,-38.15489749,2.850093585,-44.75046146,88.78331506,0.002650248,-99.89782146,34.22981133,31.26810554,28.5858513,26.15453012,23.94874963,21.94587764,20.12572178,85,,,,,,,
두산건설,"1,365",-94,-7.5,"1,678",-138,0.2,0,'011160,-9.891304348,0.813468415,-49.72267473,1.408816096,0.0010321,-99.96020809,0.543159592,0.496163162,0.453601078,0.415020806,0.380019421,0.348237793,0.319355509,596,,,,,,,
아모그린텍,"14,500",-106,11.7,"2,215",145,2.28,0,'125210,100,6.546275395,-56.20287886,3.765508628,0.00025969,-99.98998782,1.451766583,1.326153693,1.212393,1.109274966,1.015722642,0.930776143,0.853579064,451,,,,,,,
피피아이,"11,750",21,23.4,,"-13,333,333,333",,0,'062970,-8.8125E-07,#DIV/0!,-100,0,0,-100,0,0,0,0,0,0,0,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
